epoch,learning_rate,loss,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,0.0010000000474974513,0.2662627100944519,0.5648442506790161,0.5407276749610901,0.7353418469429016,0.13053211569786072,0.442868709564209,0.21358901262283325,0.46215692162513733
1,0.0010000000474974513,0.11551138013601303,0.3478947877883911,0.18486492335796356,0.4299592077732086,0.10403040051460266,0.3785654604434967,0.16139717400074005,0.4017426669597626
2,0.0010000000474974513,0.07869161665439606,0.26565003395080566,0.11121208965778351,0.3334847688674927,0.10263299942016602,0.37147513031959534,0.15958771109580994,0.3994843065738678
3,0.0010000000474974513,0.06497276574373245,0.23232394456863403,0.08478470146656036,0.2911781370639801,0.08032546192407608,0.30945008993148804,0.11604902893304825,0.3406597077846527
4,0.0010000000474974513,0.05720280110836029,0.20800088346004486,0.07032705098390579,0.2651924788951874,0.06949647516012192,0.2766934335231781,0.09548749774694443,0.30901050567626953
5,0.0010000000474974513,0.053402431309223175,0.19749145209789276,0.06383587419986725,0.25265762209892273,0.055412814021110535,0.2322562336921692,0.06843682378530502,0.26160433888435364
6,0.0010000000474974513,0.04835396632552147,0.18382270634174347,0.054860670119524,0.23422354459762573,0.045666974037885666,0.1942545771598816,0.05006793141365051,0.22375865280628204
7,0.0010000000474974513,0.044145822525024414,0.1709551066160202,0.047556307166814804,0.21807408332824707,0.0390578992664814,0.16231614351272583,0.03794507682323456,0.19479496777057648
