epoch,learning_rate,loss,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,0.0010000000474974513,0.05667278170585632,0.22565874457359314,0.0982784554362297,0.313493937253952,0.2391081303358078,0.6579734086990356,0.4623420238494873,0.679957389831543
1,0.0010000000474974513,0.025947725400328636,0.1399313509464264,0.036773789674043655,0.1917649358510971,0.018826622515916824,0.12380153685808182,0.02334437146782875,0.1527886539697647
2,0.0010000000474974513,0.01999657042324543,0.1214388906955719,0.02645045705139637,0.16263596713542938,0.008119232021272182,0.04612760618329048,0.003455281024798751,0.058781638741493225
3,0.0010000000474974513,0.017022758722305298,0.10889851301908493,0.021946219727396965,0.14814256131649017,0.006342469248920679,0.02834344655275345,0.0012517125578597188,0.035379551351070404
4,0.0010000000474974513,0.015015648677945137,0.10034241527318954,0.019187070429325104,0.13851739466190338,0.006215744186192751,0.03879019618034363,0.0021658199839293957,0.046538371592760086
5,0.0010000000474974513,0.012844939716160297,0.09170661121606827,0.015926161780953407,0.1261989027261734,0.0052301096729934216,0.027604060247540474,0.0011714918073266745,0.03422706201672554
6,0.0010000000474974513,0.0113142691552639,0.0846986323595047,0.013767939992249012,0.11733686178922653,0.004912747535854578,0.02885930798947811,0.0013845381326973438,0.03720938414335251
7,0.0010000000474974513,0.01035046111792326,0.08011627942323685,0.012632466852664948,0.11239425092935562,0.00439682649448514,0.026238394901156425,0.0010867706732824445,0.03296620398759842
