epoch,learning_rate,loss,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,0.0010000000474974513,0.29126328229904175,0.6551343202590942,0.60933917760849,0.7806017994880676,0.05303189903497696,0.27741748094558716,0.08915852010250092,0.29859423637390137
1,0.0010000000474974513,0.07115919142961502,0.2714719772338867,0.12558306753635406,0.35437700152397156,0.05167060345411301,0.27256208658218384,0.08663974702358246,0.29434630274772644
2,0.0010000000474974513,0.05512838810682297,0.22667181491851807,0.09370724856853485,0.30611640214920044,0.036066219210624695,0.21227216720581055,0.05576262250542641,0.23614110052585602
3,0.0010000000474974513,0.04834452643990517,0.20967069268226624,0.08055195212364197,0.28381675481796265,0.029132001101970673,0.17860937118530273,0.04224443435668945,0.20553450286388397
