id,arquitectura,horizonte,zona,epochs,params,config_json,mae,rmse,r2,smape,mejor_val_loss,tiempo_seg,dir
tcn_h1_e52a3a89,tcn,1,combeima,3,23009,"{""filters"": 48, ""kernel_size"": 3, ""dilations"": [1, 2, 4, 8], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.2923466296593954,0.3567873687155323,-1.311148304129087,82.52446844331871,,6.0,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_034409__basico\tcn_h1_e52a3a89
tcn_h1_0dd7f44a,tcn,1,combeima,3,87473,"{""filters"": 96, ""kernel_size"": 3, ""dilations"": [1, 2, 4, 8], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.291814018726894,0.3562095989839347,-1.3036691696498113,82.29847083812965,,7.5,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_034409__basico\tcn_h1_0dd7f44a
gru_h1_10c1eb14,gru,1,combeima,8,23665,"{""unidades"": [32, 64], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.0360500937404773,0.0454488218334868,0.9624327926171988,11.701960567496608,0.0064696571789681,21.8,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_035816__basico\gru_h1_10c1eb14
gru_h1_ff72bfeb,gru,1,combeima,8,24273,"{""unidades"": [64, 32], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.0460214509040265,0.0557744597526457,0.9434237187677632,15.585396036253432,0.0079035786911845,20.6,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_035816__basico\gru_h1_ff72bfeb
lstm_h1_6bdfe82c,lstm,1,combeima,8,30929,"{""unidades"": [32, 64], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.0376413152730877,0.0452513039032269,0.9627586128641183,16.233256584522245,0.0077384915202856,19.3,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_035816__basico\lstm_h1_6bdfe82c
lstm_h1_9c2c1b6d,lstm,1,combeima,8,31825,"{""unidades"": [64, 32], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.0346807843142328,0.0430708236488152,0.9662611708470372,12.71946500868447,0.0096617424860596,18.5,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_035816__basico\lstm_h1_9c2c1b6d
bigru_h1_26bfc988,bigru,1,combeima,8,59601,"{""unidades"": [32, 64], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.0344891647600979,0.0427480095691105,0.9667650179053896,19.05134291793937,0.0132897961884737,27.9,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_035816__basico\bigru_h1_26bfc988
bigru_h1_94b5b69d,bigru,1,combeima,8,60817,"{""unidades"": [64, 32], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.0456230763684198,0.067823998977834,0.9163375769384592,18.363361947574344,0.0152982156723737,27.9,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_035816__basico\bigru_h1_94b5b69d
gru_attention_h1_ad77193c,gru_attention,1,combeima,8,23753,"{""unidades"": [32, 64], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.026738117194146,0.0340711041151835,0.9788876747180832,11.124730023096836,0.0043968264944851,22.3,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_035816__basico\gru_attention_h1_ad77193c
gru_attention_h1_3d7b5aec,gru_attention,1,combeima,8,24329,"{""unidades"": [64, 32], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.0292583824192122,0.0362844054628793,0.976055615601083,9.837994832538715,0.005085221491754,21.1,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_035816__basico\gru_attention_h1_3d7b5aec
tcn_h1_e52a3a89,tcn,1,combeima,8,23009,"{""filters"": 48, ""kernel_size"": 3, ""dilations"": [1, 2, 4, 8], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.1325602217424494,0.1534984705771758,0.571479346529566,36.077847279464855,0.0271753463894128,12.2,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_035816__basico\tcn_h1_e52a3a89
tcn_h1_0dd7f44a,tcn,1,combeima,8,87473,"{""filters"": 96, ""kernel_size"": 3, ""dilations"": [1, 2, 4, 8], ""dropout"": 0.3, ""lr"": 0.001, ""batch_size"": 32}",0.0962840369694046,0.1142657692735414,0.7625370007347636,27.48113747812399,0.0326653681695461,16.0,C:\Users\DANY-\OneDrive - uniminuto.edu\Skyfusion-Analytics\rnn_combeima\experiments\run_20260907_035816__basico\tcn_h1_0dd7f44a
