epoch,learning_rate,loss,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,0.0010000000474974513,0.2746054232120514,0.5702943205833435,0.5589042901992798,0.7475990056991577,0.17720206081867218,0.5301887392997742,0.3014630973339081,0.5490565299987793
1,0.0010000000474974513,0.11365590989589691,0.3317379653453827,0.17582076787948608,0.4193098843097687,0.16694554686546326,0.5101414322853088,0.28194180130958557,0.5309818983078003
2,0.0010000000474974513,0.08397310227155685,0.27136898040771484,0.11661436408758163,0.34148845076560974,0.1444942206144333,0.46502259373664856,0.2382056564092636,0.48806315660476685
3,0.0010000000474974513,0.06817571818828583,0.23037365078926086,0.08613695949316025,0.2934909760951996,0.107979416847229,0.38180097937583923,0.16636522114276886,0.40787893533706665
4,0.0010000000474974513,0.061257194727659225,0.21452699601650238,0.07350385189056396,0.2711159288883209,0.07817234098911285,0.29791656136512756,0.10797859728336334,0.3286009728908539
5,0.0010000000474974513,0.05640843138098717,0.2001553475856781,0.06506078690290451,0.25507014989852905,0.05883257836103439,0.23232229053974152,0.07056193053722382,0.2656349539756775
6,0.0010000000474974513,0.05179275572299957,0.18736247718334198,0.057077806442976,0.23890961706638336,0.04636843875050545,0.18682391941547394,0.04688318818807602,0.21652525663375854
7,0.0010000000474974513,0.04585114121437073,0.1688900887966156,0.04646771773695946,0.21556371450424194,0.03813706710934639,0.14887425303459167,0.03168914094567299,0.17801444232463837
