epoch,learning_rate,loss,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,0.0010000000474974513,0.09045317769050598,0.29158177971839905,0.17264136672019958,0.41550135612487793,0.03043373115360737,0.1752210557460785,0.04454953223466873,0.21106760203838348
1,0.0010000000474974513,0.029317021369934082,0.15529245138168335,0.042809970676898956,0.20690570771694183,0.014260215684771538,0.09328039735555649,0.013209816999733448,0.11493396759033203
2,0.0010000000474974513,0.023475026711821556,0.13555419445037842,0.03214448690414429,0.1792888343334198,0.01067813765257597,0.06747830659151077,0.007062764838337898,0.08404025435447693
3,0.0010000000474974513,0.019232356920838356,0.11775057762861252,0.024662787094712257,0.15704390406608582,0.008193589746952057,0.043513257056474686,0.0030807333532720804,0.05550435557961464
4,0.0010000000474974513,0.016051840037107468,0.10409484803676605,0.019245879724621773,0.1387295126914978,0.009294470772147179,0.06449634581804276,0.006189274601638317,0.07867193967103958
5,0.0010000000474974513,0.014515790157020092,0.0991615504026413,0.017047639936208725,0.13056661188602448,0.0074850101955235004,0.047895170748233795,0.003416654886677861,0.05845215916633606
6,0.0010000000474974513,0.01253914088010788,0.09013791382312775,0.013906640000641346,0.11792641878128052,0.008120665326714516,0.062112413346767426,0.005450029391795397,0.07382431626319885
7,0.0010000000474974513,0.011308396235108376,0.08508247882127762,0.012183425016701221,0.11037855595350266,0.006469657178968191,0.04437059909105301,0.0028591447044163942,0.05347096920013428
