fecha,longitude,latitude,EVI,NDVI,SummaryQA,sensor
2015-01-01,-75.64897841586914,4.434587228211683,0.44320000000000004,0.8394,0.0,modis
2015-03-06,-75.64897841586914,4.434587228211683,0.5133,0.8305,1.0,modis
2015-06-10,-75.64897841586914,4.434587228211683,0.21230000000000002,0.7248,1.0,modis
2015-06-26,-75.64897841586914,4.434587228211683,0.2538,0.6182000000000001,1.0,modis
2015-08-29,-75.64897841586914,4.434587228211683,0.3194,0.6108,1.0,modis
2015-09-14,-75.64897841586914,4.434587228211683,0.38380000000000003,0.7926000000000001,1.0,modis
2016-11-16,-75.64897841586914,4.434587228211683,0.41090000000000004,0.7606,0.0,modis
2017-07-12,-75.64897841586914,4.434587228211683,0.6115,0.8153,1.0,modis
2017-08-29,-75.64897841586914,4.434587228211683,0.31720000000000004,0.8655,0.0,modis
2018-05-25,-75.64897841586914,4.434587228211683,0.3309,0.9048,0.0,modis
2018-07-28,-75.64897841586914,4.434587228211683,0.6155,0.8284,0.0,modis
2018-09-30,-75.64897841586914,4.434587228211683,0.3911,0.8682000000000001,1.0,modis
2018-12-19,-75.64897841586914,4.434587228211683,0.37420000000000003,0.7545000000000001,0.0,modis
2019-01-01,-75.64897841586914,4.434587228211683,0.37420000000000003,0.7545000000000001,0.0,modis
2019-02-18,-75.64897841586914,4.434587228211683,0.2414,0.537,1.0,modis
2019-06-26,-75.64897841586914,4.434587228211683,0.5799000000000001,0.8425,1.0,modis
2019-08-13,-75.64897841586914,4.434587228211683,0.4021,0.7952,1.0,modis
2020-02-18,-75.64897841586914,4.434587228211683,0.48960000000000004,0.8411000000000001,0.0,modis
2020-10-31,-75.64897841586914,4.434587228211683,0.4506,0.6291,1.0,modis
2020-12-02,-75.64897841586914,4.434587228211683,0.34190000000000004,0.5234,1.0,modis
2021-05-09,-75.64897841586914,4.434587228211683,0.45230000000000004,0.5159,1.0,modis
2021-09-14,-75.64897841586914,4.434587228211683,0.6407,0.7984,1.0,modis
2021-09-30,-75.64897841586914,4.434587228211683,0.5877,0.7139,1.0,modis
2022-01-17,-75.64897841586914,4.434587228211683,0.2353,0.7577,1.0,modis
2022-03-06,-75.64897841586914,4.434587228211683,0.5622,0.7257,1.0,modis
2022-07-28,-75.64897841586914,4.434587228211683,0.2801,0.7467,1.0,modis
2023-01-01,-75.64897841586914,4.434587228211683,0.3292,0.7234,1.0,modis
2023-05-09,-75.64897841586914,4.434587228211683,0.6221,0.8314,1.0,modis
2023-08-13,-75.64897841586914,4.434587228211683,0.449,0.8385,0.0,modis
2023-09-14,-75.64897841586914,4.434587228211683,0.4,0.8391000000000001,1.0,modis
2024-01-17,-75.64897841586914,4.434587228211683,0.3341,0.8561000000000001,1.0,modis
2024-02-02,-75.64897841586914,4.434587228211683,0.2195,0.7110000000000001,1.0,modis
2024-02-18,-75.64897841586914,4.434587228211683,0.183,0.8599,1.0,modis
2024-03-21,-75.64897841586914,4.434587228211683,0.2706,0.5825,1.0,modis
2024-05-24,-75.64897841586914,4.434587228211683,0.28340000000000004,0.337,1.0,modis
2024-06-25,-75.64897841586914,4.434587228211683,0.16290000000000002,0.547,1.0,modis
2024-07-11,-75.64897841586914,4.434587228211683,0.49820000000000003,0.7254,1.0,modis
2024-08-12,-75.64897841586914,4.434587228211683,0.14300000000000002,0.5860000000000001,0.0,modis
