epoch,learning_rate,loss,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,0.0010000000474974513,0.3854675590991974,0.7721899747848511,0.854702353477478,0.9245011210441589,0.15479004383087158,0.5180125832557678,0.28653135895729065,0.5352862477302551
1,0.0010000000474974513,0.12913650274276733,0.3963513672351837,0.23684032261371613,0.4866624176502228,0.139229878783226,0.48728370666503906,0.25545698404312134,0.5054275393486023
2,0.0010000000474974513,0.07343530654907227,0.2695547044277191,0.12405720353126526,0.35221755504608154,0.1630323976278305,0.5331079959869385,0.30322912335395813,0.5506624579429626
3,0.0010000000474974513,0.06558415293693542,0.25139257311820984,0.10853602737188339,0.32944807410240173,0.15102636814117432,0.5103118419647217,0.2794407606124878,0.5286215543746948
4,0.0010000000474974513,0.051330018788576126,0.2137824296951294,0.08014975488185883,0.28310731053352356,0.09012581408023834,0.3656020164489746,0.15785075724124908,0.39730435609817505
5,0.0010000000474974513,0.04782520979642868,0.20253121852874756,0.07336203008890152,0.27085426449775696,0.08087668567895889,0.33928921818733215,0.13957662880420685,0.3735995590686798
6,0.0010000000474974513,0.044525958597660065,0.19411535561084747,0.0669805184006691,0.2588059604167938,0.052383482456207275,0.2521635890007019,0.08281365782022476,0.28777360916137695
7,0.0010000000474974513,0.04366099461913109,0.1926915943622589,0.06549686938524246,0.2559235692024231,0.035366278141736984,0.18480905890464783,0.04902948439121246,0.22142602503299713
